;cpi;lci;exp1;exp10;energy_cpi;food_cpi;vu;shortage;productivity;fiscal
2015-07-01;237,498;123,6000000;1,92835583;1,83859304;197,246;248,492;0,70685;4;98,392;0,105380997
2015-10-01;237,761;124,3000000;1,46795515;1,81273123;190,143;248,206;0,7271;4;97,787;-1,539168532
2016-01-01;238,080;125,1000000;0,78224551;1,64890624;182,234;248,029;0,76904;3;98,205;-2,008462838
2016-04-01;240,222;126,0000000;1,28116185;1,72374515;192,899;247,683;0,73827;3;98,267;-1,350150716
2016-07-01;241,176;126,6000000;2,06443724;1,72789683;192,243;247,772;0,74887;9;98,603;-0,870058794
2016-10-01;242,637;127,3000000;2,29173320;1,95369171;199,513;247,725;0,76583;4;99,271;-1,227617627
2017-01-01;243,892;128,2000000;1,50314821;1,88654098;202,528;249,244;0,79156;4;99,432;-3,091599826
2017-04-01;244,163;129,0000000;0,95868776;1,73020088;197,808;249,770;0,86929;3;99,485;-2,359481023
2017-07-01;246,435;129,9000000;2,05780237;1,84386995;212,723;250,826;0,90426;8;100,294;0,03062113
2017-10-01;247,805;130,8000000;2,82407476;2,01118703;213,574;251,716;0,94574;4;101,031;-1,27967223
2018-01-01;249,577;132,0000000;1,68874433;1,97024161;215,720;252,365;1,02298;5;101,36;-3,647906822
2018-04-01;251,018;132,8000000;1,59099529;2,04590296;220,947;253,167;1,1058;4;101,373;2,463999649
2018-07-01;252,182;133,9000000;2,41001454;2,13615266;223,955;254,302;1,18373;4;101,668;-0,101439627
2018-10-01;252,767;134,9000000;1,98107002;2,09134924;213,630;255,877;1,19621;5;101,485;-2,351488301
2019-01-01;254,202;135,8000000;1,37532429;1,69207771;214,305;257,717;1,16329;5;102,339;-3,131374029
2019-04-01;255,159;136,7000000;1,60914045;1,63705342;213,339;257,918;1,21962;6;102,968;1,869066373
2019-07-01;256,511;137,9000000;1,64492794;1,56044845;213,647;258,832;1,20187;5;104,128;-0,979189795
2019-10-01;258,616;138,9000000;1,70378442;1,71452550;221,757;260,546;1,18668;5;105,107;-2,846612617
2020-01-01;258,124;140,3000000;0,98707392;1,26977517;201,747;262,739;1,0614;12;104,618;-3,433659975
2020-04-01;256,986;140,8000000;0,51275711;1,23186673;187,134;269,506;0,26509;13;109,707;-30,87148035
2020-07-01;260,029;141,6000000;1,58276440;1,35099923;197,134;268,997;0,45956;25;111,468;-3,616211989
2020-10-01;262,035;142,8000000;1,64952129;1,41717038;206,140;270,852;0,62672;10;110,615;-6,310446617
2021-01-01;264,914;144,5000000;1,51383809;1,49740360;227,958;271,898;0,78121;12;111,429;-14,31710643
2021-04-01;270,559;145,7000000;2,05518859;1,59628851;232,389;275,881;1,03752;48;111,448;-5,182478709
2021-07-01;274,028;148,0000000;2,68413713;1,64278592;246,370;281,273;1,33355;22;110,808;-4,984127969
2021-10-01;280,887;149,9000000;2,62030861;1,75897506;268,081;287,939;1,65836;22;111,599;-2,608606631
